name,pos,team,bye,tier,projected$,vbd,aav
"Jahmyr Gibbs",RB,DET,6,RB1,83.52,218.59,72.7
"Bijan Robinson",RB,ATL,11,RB2,74,194.13,72.3
"Christian McCaffrey",RB,SF,8,RB5,65.14,171.37,61.2
"Jonathan Taylor",RB,IND,13,RB3,63.12,166.19,57.8
"Derrick Henry",RB,BAL,13,RB6,53.44,141.32,35.7
"Puka Nacua",WR,LAR,11,WR2,52.13,135.76,63.2
"De'Von Achane",RB,MIA,6,RB3,51.28,135.79,45.4
"Ja'Marr Chase",WR,CIN,6,WR1,49.95,130.15,66.2
"James Cook III",RB,BUF,7,RB4,48.94,129.77,53.7
"Jaxon Smith-Njigba",WR,SEA,11,WR3,48.15,125.54,60.7
"Chase Brown",RB,CIN,6,RB8,46.03,122.29,44.6
"Saquon Barkley",RB,PHI,10,RB7,44.95,119.52,46.1
"Amon-Ra St. Brown",WR,DET,6,WR4,44.56,116.3,54.6
"Kenneth Walker III",RB,KC,5,RB9,42.12,112.25,38.6
"Ashton Jeanty",RB,LV,13,RB4,40.23,107.39,48.2
"Omarion Hampton",RB,LAC,7,RB10,39.32,105.06,42.7
"Jeremiyah Love",RB,ARI,14,RB4,37.52,100.44,31.4
"Javonte Williams",RB,DAL,14,RB5,37.26,99.77,20.7
"Breece Hall",RB,NYJ,13,RB5,36.48,97.77,19.1
"Kyren Williams",RB,LAR,11,RB5,35.1,94.23,23.8
"Travis Etienne Jr.",RB,NO,8,RB5,33.35,89.73,18.1
"Josh Allen",QB,BUF,7,QB1,33.17,86.98,32.8
"Cam Skattebo",RB,NYG,8,RB5,32.81,88.35,15.1
"Drake London",WR,ATL,11,WR9,31.34,82.35,41.6
"Trey McBride",TE,ARI,14,TE2,30.66,80.31,33.1
"CeeDee Lamb",WR,DAL,14,WR5,29.95,78.78,54.6
"D'Andre Swift",RB,CHI,10,RB5,29.87,80.8,10.7
"Justin Jefferson",WR,MIN,6,WR6,29.8,78.4,48.8
"Rashee Rice",WR,KC,5,WR3,28.33,74.62,23.8
"Brock Bowers",TE,LV,13,TE1,28.11,73.77,37.2
"Quinshon Judkins",RB,CLE,11,RB5,27.86,75.63,10.3
"Bucky Irving",RB,TB,10,RB5,27.76,75.38,12.7
"Chris Olave",WR,NO,8,WR3,26.95,71.08,25.3
"Bhayshul Tuten",RB,JAC,7,RB6,25.89,70.56,7.8
"A.J. Brown",WR,NE,11,WR7,25.75,67.99,27.7
"George Pickens",WR,DAL,14,WR10,24.9,65.82,32.5
"Nico Collins",WR,HOU,8,WR8,24.41,64.56,37.8
"David Montgomery",RB,HOU,8,RB6,21.29,58.75,11.2
"Zay Flowers",WR,BAL,13,WR4,21.16,56.2,14.3
"Malik Nabers",WR,NYG,8,WR4,20.73,55.1,27.3
"Colston Loveland",TE,CHI,10,TE3,19.19,50.85,18.4
"Garrett Wilson",WR,NYJ,13,WR4,18.52,49.44,14.7
"Jaylen Warren",RB,PIT,9,RB6,18.15,50.69,4
"TreVeyon Henderson",RB,NE,11,RB6,18.03,50.37,9.7
"DeVonta Smith",WR,PHI,10,WR4,17.97,48.01,23.4
"Tetairoa McMillan",WR,CAR,5,WR5,17.93,47.92,19.4
"Jadarian Price",RB,SEA,11,RB6,17.92,50.11,8
"Emeka Egbuka",WR,TB,10,WR5,17.37,46.48,12
"Tony Pollard",RB,TEN,9,RB6,16.95,47.61,3.3
"Rhamondre Stevenson",RB,NE,11,RB6,16.78,47.18,3
"Davante Adams",WR,LAR,11,WR5,15.95,42.83,12.6
"Tee Higgins",WR,CIN,6,WR5,15.31,41.19,19.5
"Lamar Jackson",QB,BAL,13,QB2,15.16,40.73,20
"Jameson Williams",WR,DET,6,WR5,14.98,40.33,7.4
"J.K. Dobbins",RB,DEN,10,RB6,14.9,42.35,2.4
"Jayden Daniels",QB,WAS,7,QB6,14.38,38.71,8
"Rico Dowdle",RB,PIT,9,RB7,14.32,40.85,3.7
"Tyler Warren",TE,IND,13,TE4,14.26,38.2,12.3
"Drake Maye",QB,NE,11,QB3,13.79,37.21,13.2
"Jalen Hurts",QB,PHI,10,QB5,13.64,36.82,6.7
"Harold Fannin Jr.",TE,CLE,11,TE9,13.36,35.9,4
"Chuba Hubbard",RB,CAR,5,RB7,13.08,37.33,5.9
"Ladd McConkey",WR,LAC,7,WR5,12.27,33.37,13.3
"MarShawn Lloyd",RB,GB,11,RB7,11.91,33.99,1
"Jonathon Brooks",RB,CAR,5,RB7,11.6,33.09,2.6
"George Kittle",TE,SF,8,TE8,11.1,30.09,2.8
"Kenny Gainwell",RB,TB,10,RB7,11.09,31.64,1.8
"Terry McLaurin",WR,WAS,7,WR5,11.07,30.3,9.6
"Kyle Monangai",RB,CHI,10,RB7,10.64,30.36,2.7
"Rome Odunze",WR,CHI,10,WR5,10.58,29.03,4.9
"Rachaad White",RB,WAS,7,RB7,10.55,30.1,1.7
"DJ Moore",WR,BUF,7,WR5,10.51,28.87,6.8
"Jaylen Waddle",WR,DEN,10,WR5,10.23,28.15,12.1
"Sam LaPorta",TE,DET,6,TE6,10.22,27.82,4.1
"Aaron Jones Sr.",RB,MIN,6,RB7,10.18,29.05,1.9
"Kyle Pitts Sr.",TE,ATL,11,TE7,10.16,27.66,3.3
"Jacory Croskey-Merritt",RB,WAS,7,RB7,10.1,28.82,1.4
"Joe Burrow",QB,CIN,6,QB4,9.95,27.35,11.8
"RJ Harvey",RB,DEN,10,RB7,9.85,28.09,2.8
"Luther Burden III",WR,CHI,10,WR5,9.71,26.8,11.3
"Jordan Mason",RB,MIN,6,RB7,9.68,27.61,1.5
"Jaxson Dart",QB,NYG,8,QB3,9.43,26.01,3.7
"Dallas Goedert",TE,PHI,10,TE4,9.33,25.53,1.3
"Blake Corum",RB,LAR,11,RB7,8.97,25.58,2.6
"Travis Kelce",TE,KC,5,TE4,8.23,22.7,2.3
"Tucker Kraft",TE,GB,11,TE5,8.21,22.65,6.3
"Christian Watson",WR,GB,11,WR6,8.16,22.81,5
"Trevor Lawrence",QB,JAC,7,QB9,8.08,22.55,2.4
"Brock Purdy",QB,SF,8,QB3,7.83,21.91,1.4
"Dak Prescott",QB,DAL,14,QB10,7.67,21.48,3.5
"Josh Jacobs",RB,GB,11,RB7,7.61,21.7,26.9
"Courtland Sutton",WR,DEN,10,WR6,7.06,20,1.8
"Alec Pierce",WR,IND,13,WR6,6.56,18.7,3.5
"Patrick Mahomes II",QB,KC,5,QB3,6.53,18.56,2.5
"Marvin Harrison Jr.",WR,ARI,14,WR6,6.46,18.44,3.4
"Mike Evans",WR,SF,8,WR6,6.46,18.43,6.5
"DK Metcalf",WR,PIT,9,WR6,6.46,18.42,2.4
"Caleb Williams",QB,CHI,10,QB7,6.28,17.9,3.4
"Justin Herbert",QB,LAC,7,QB8,5.88,16.77,3.9
"Bo Nix",QB,DEN,10,QB3,5.69,16.23,1.4
"Tyjae Spears",RB,TEN,9,RB7,5.59,15.94,1.1
"Mark Andrews",TE,BAL,13,TE5,5.53,15.79,1.2
"Woody Marks",RB,HOU,8,RB7,5.36,15.28,1
"Matthew Stafford",QB,LAR,11,QB3,4.92,14.04,1.7
"Isaiah Likely",TE,NYG,8,TE5,4.92,14.02,1.7
"Parker Washington",WR,JAC,7,WR6,4.68,13.34,1.6
"Brian Thomas Jr.",WR,JAC,7,WR6,4.57,13.02,2.4
"Dalton Kincaid",TE,BUF,7,TE10,4.56,12.99,1.3
"Kyler Murray",QB,MIN,6,QB3,4.54,12.96,1.3
"Jake Ferguson",TE,DAL,14,TE5,4.3,12.26,1.3
"Zach Charbonnet",RB,SEA,11,RB8,4.25,12.13,1.8
"Michael Pittman Jr.",WR,PIT,9,WR6,4.2,11.98,1.2
"Jared Goff",QB,DET,6,QB3,3.85,10.99,1.4
"Hunter Henry",TE,NE,11,TE5,3.45,9.84,1.1
